Município,Domain,Live_StatusCode,Total_Arquivo_Captures
Sernancelhe,cm-sernancelhe.pt,200,283
Serpa,cm-serpa.pt,200,306
Sertã,cm-serta.pt,200,0
Sesimbra,cm-sesimbra.pt,200,277
Setúbal,cm-setubal.pt,Dead,0
Silves,cm-silves.pt,200,268
Sines,cm-sines.pt,Dead,124
Sintra,cm-sintra.pt,200,1254
Soure,cm-soure.pt,200,279
Sousel,cm-sousel.pt,200,155
Tábua,cm-tabua.pt,Dead,610
Tabuaço,cm-tabuaco.pt,200,712
Tarouca,cm-tarouca.pt,Dead,0
Tavira,cm-tavira.pt,200,0
Tomar,cm-tomar.pt,200,0
Tondela,cm-tondela.pt,200,0
Trancoso,cm-trancoso.pt,200,0
Vagos,cm-vagos.pt,200,0
Valença,cm-valenca.pt,200,0
Valongo,cm-valongo.pt,200,0
Valpaços,cm-valpacos.pt,Dead,24
Vidigueira,cm-vidigueira.pt,200,767
Vimioso,cm-vimioso.pt,200,737
Vinhais,cm-vinhais.pt,200,820
Viseu,cm-viseu.pt,200,1268
Vizela,cm-vizela.pt,200,468
Vouzela,cm-vouzela.pt,200,420
Albergaria-a-Velha,cm-albergaria.pt,200,767
Miranda do Corvo,cm-mirandadocorvo.pt,200,247
Santa Maria da Feira,cm-feira.pt,200,882
Vila Nova de Gaia,cm-gaia.pt,200,157
Santa Cruz da Graciosa,cm-graciosa.pt,200,589
Torre de Moncorvo,cm-moncorvo.pt,200,236
Vila do Porto,cm-viladoporto.pt,200,144
Horta,cmhorta.pt,200,1121
Mangualde,cmmangualde.pt,200,461
Velas,cmvelas.pt,200,411
Guarda,mun-guarda.pt,200,1137
Aljustrel,mun-aljustrel.pt,200,530
Montijo,mun-montijo.pt,200,1452
Lajes do Pico,cm-lajesdopico.pt,200,698
Trofa,mun-trofa.pt,200,676
Alter do Chão,cm-alter-chao.pt,200,291
Angra do Heroísmo,angradoheroismo.pt,200,839
Arcos de Valdevez,cmav.pt,200,1020
Vila Nova da Barquinha,cm-vnbarquinha.pt,200,2474
Cabeceiras de Basto,cabeceirasdebasto.pt,200,531
Caldas da Rainha,mcr.pt,200,25
Castanheira de Pêra,cm-castanheiradepera.pt,200,374
Aguiar da Beira,cm-aguiardabeira.pt,200,754
Alcácer do Sal,cm-alcacerdosal.pt,200,129
Alfândega da Fé,cm-alfandegadafe.pt,200,1264
Arruda dos Vinhos,cm-arruda.pt,200,854
Calheta [R.A.A.],cm-calheta.pt,200,146
Câmara de Lobos,cm-camaradelobos.pt,200,581
Carrazeda de Ansiães,cm-carrazedadeansiaes.pt,200,909
Carregal do Sal,cm-carregal.pt,200,568
Castelo Branco,cm-castelobranco.pt,200,3730
Castro Daire,cm-castrodaire.pt,200,522
Castro Marim,cm-castromarim.pt,200,201
Castro Verde,cm-castroverde.pt,200,168
Celorico da Beira,cm-celoricodabeira.pt,200,150
Celorico de Basto,cm-celoricodebasto.pt,Dead,0
Condeixa-a-Nova,cm-condeixa.pt,200,936
Figueira de Castelo Rodrigo,cm-fcr.pt,200,381
Ferreira do Zêzere,cm-ferreiradozezere.pt,200,1285
Figueira da Foz,cm-figfoz.pt,200,1352
Figueiró dos Vinhos,cm-figueirodosvinhos.pt,200,812
Fornos de Algodres,cm-fornosdealgodres.pt,200,501
Vila Nova de Foz Côa,cm-fozcoa.pt,200,460
Idanha-a-Nova,cm-idanhanova.pt,200,2611
Lagoa [R.A.A.],lagoa-acores.pt,200,200
Macedo de Cavaleiros,cm-macedodecavaleiros.pt,200,788
Mesão Frio,cm-mesaofrio.pt,200,726
Moimenta da Beira,cm-moimenta.pt,200,778
Mondim de Basto,cm-mondimdebasto.pt,403,55
Montemor-o-Novo,cm-montemornovo.pt,200,369
Oliveira de Azeméis,cm-oaz.pt,200,1097
Oliveira de Frades,cm-ofrades.pt,Timeout,16
Oliveira do Hospital,cm-oliveiradohospital.pt,200,949
Pampilhosa da Serra,cm-pampilhosadaserra.pt,200,707
