Município,Domain
Angra do Heroísmo,angradoheroismo.pt
Arcos de Valdevez,cmav.pt
Vila Nova da Barquinha,cm-vnbarquinha.pt
Cabeceiras de Basto,cabeceirasdebasto.pt
Caldas da Rainha,mcr.pt
Castanheira de Pêra,cm-castanheiradepera.pt
Aguiar da Beira,cm-aguiardabeira.pt
Alcácer do Sal,cm-alcacerdosal.pt
Alfândega da Fé,cm-alfandegadafe.pt
Arruda dos Vinhos,cm-arruda.pt
Calheta [R.A.A.],cm-calheta.pt
Câmara de Lobos,cm-camaradelobos.pt
Carrazeda de Ansiães,cm-carrazedadeansiaes.pt
Carregal do Sal,cm-carregal.pt
Castelo Branco,cm-castelobranco.pt
Castro Daire,cm-castrodaire.pt
Castro Marim,cm-castromarim.pt
Castro Verde,cm-castroverde.pt
Celorico da Beira,cm-celoricodabeira.pt
Celorico de Basto,cm-celoricodebasto.pt
Condeixa-a-Nova,cm-condeixa.pt
Figueira de Castelo Rodrigo,cm-fcr.pt
Ferreira do Zêzere,cm-ferreiradozezere.pt
Figueira da Foz,cm-figfoz.pt
Figueiró dos Vinhos,cm-figueirodosvinhos.pt
Fornos de Algodres,cm-fornosdealgodres.pt
Vila Nova de Foz Côa,cm-fozcoa.pt
Idanha-a-Nova,cm-idanhanova.pt
Lagoa [R.A.A.],lagoa-acores.pt
Macedo de Cavaleiros,cm-macedodecavaleiros.pt
Mesão Frio,cm-mesaofrio.pt
Moimenta da Beira,cm-moimenta.pt
Mondim de Basto,cm-mondimdebasto.pt
Montemor-o-Novo,cm-montemornovo.pt
Oliveira de Azeméis,cm-oaz.pt
Oliveira de Frades,cm-ofrades.pt
Oliveira do Hospital,cm-oliveiradohospital.pt
Pampilhosa da Serra,cm-pampilhosadaserra.pt
Pedrógão Grande,cm-pedrogaogrande.pt
Penalva do Castelo,cm-penalvadocastelo.pt
Peso da Régua,cm-pesoregua.pt
Ponta Delgada,cm-pontadelgada.pt
Ponta do Sol,cm-pontadosol.pt
Ponte da Barca,cm-pontedabarca.pt
Ponte de Lima,cm-pontedelima.pt
Ponte de Sor,cm-pontedesor.pt
Porto Moniz,cm-portomoniz.pt
Porto Santo,cm-portosanto.pt
Póvoa de Lanhoso,cm-povoadelanhoso.pt
Proença-a-Nova,cm-proencanova.pt
Póvoa de Varzim,cm-pvarzim.pt
Ribeira Brava,cm-ribeirabrava.pt
Ribeira Grande,cm-ribeiragrande.pt
Rio Maior,cm-riomaior.pt
Ribeira de Pena,cm-rpena.pt
Salvaterra de Magos,cm-salvaterrademagos.pt
Santa Comba Dão,cm-santacombadao.pt
Santa Cruz,cm-santacruz.pt
São Roque do Pico,cm-saoroquedopico.pt
