Município,Domain,Status,Signal_Found,Notes
Lisboa,cm-lisboa.pt,VERIFIED,cm- in domain (auto-pass),
Loulé,cm-loule.pt,VERIFIED,cm- in domain (auto-pass),
Loures,cm-loures.pt,VERIFIED,cm- in domain (auto-pass),
Lourinhã,cm-lourinha.pt,VERIFIED,cm- in domain (auto-pass),
Lousã,cm-lousa.pt,VERIFIED,cm- in domain (auto-pass),
Lousada,cm-lousada.pt,VERIFIED,cm- in domain (auto-pass),
Mação,cm-macao.pt,VERIFIED,cm- in domain (auto-pass),
Machico,cm-machico.pt,VERIFIED,cm- in domain (auto-pass),
Madalena,cm-madalena.pt,VERIFIED,cm- in domain (auto-pass),
Mafra,cm-mafra.pt,VERIFIED,cm- in domain (auto-pass),
Maia,cm-maia.pt,VERIFIED,cm- in domain (auto-pass),
Manteigas,cm-manteigas.pt,VERIFIED,cm- in domain (auto-pass),
Marvão,cm-marvao.pt,VERIFIED,cm- in domain (auto-pass),
Matosinhos,cm-matosinhos.pt,VERIFIED,cm- in domain (auto-pass),
Mealhada,cm-mealhada.pt,VERIFIED,cm- in domain (auto-pass),
Mêda,cm-meda.pt,VERIFIED,cm- in domain (auto-pass),
Melgaço,cm-melgaco.pt,VERIFIED,cm- in domain (auto-pass),
Mértola,cm-mertola.pt,VERIFIED,cm- in domain (auto-pass),
Mira,cm-mira.pt,VERIFIED,cm- in domain (auto-pass),
Mirandela,cm-mirandela.pt,VERIFIED,cm- in domain (auto-pass),
Mogadouro,cm-mogadouro.pt,VERIFIED,cm- in domain (auto-pass),
Moita,cm-moita.pt,VERIFIED,cm- in domain (auto-pass),
Monção,cm-moncao.pt,VERIFIED,cm- in domain (auto-pass),
Monchique,cm-monchique.pt,VERIFIED,cm- in domain (auto-pass),
Monforte,cm-monforte.pt,VERIFIED,cm- in domain (auto-pass),
Montalegre,cm-montalegre.pt,VERIFIED,cm- in domain (auto-pass),
Mora,cm-mora.pt,VERIFIED,cm- in domain (auto-pass),
Mortágua,cm-mortagua.pt,VERIFIED,cm- in domain (auto-pass),
Moura,cm-moura.pt,VERIFIED,cm- in domain (auto-pass),
Mourão,cm-mourao.pt,VERIFIED,cm- in domain (auto-pass),
Murça,cm-murca.pt,VERIFIED,cm- in domain (auto-pass),
Murtosa,cm-murtosa.pt,VERIFIED,cm- in domain (auto-pass),
Nazaré,cm-nazare.pt,VERIFIED,cm- in domain (auto-pass),
Nelas,cm-nelas.pt,VERIFIED,cm- in domain (auto-pass),
Nisa,cm-nisa.pt,VERIFIED,cm- in domain (auto-pass),
