Município,Var_Pop,IEI_Score,Total_Arquivo_Captures,Live_StatusCode,CASSANDRA_Risk_Tier,CASSANDRA_Risk_Score
Gondomar,-1.69,94.7396,628.0,200,TIER 2 - Estagnação,0.3
Gouveia,-12.52,93.0802,628.0,200,TIER 4 - Profecia CASSANDRA,85.6
Grândola,-5.61,97.0291,628.0,200,TIER 3 - Risco de Fuga,4.0
Guimarães,-0.82,95.9291,628.0,Dead,TIER 2 - Estagnação,0.6
Ílhavo,3.01,95.7468,628.0,200,TIER 1 - Resiliência,0.3
Lagoa,4.18,95.3748,628.0,200,TIER 1 - Resiliência,0.2
Lagos,8.09,95.9045,628.0,200,TIER 1 - Resiliência,0.3
Lamego,-8.69,95.4123,628.0,200,TIER 3 - Risco de Fuga,5.4
Leiria,1.76,95.7098,628.0,200,TIER 1 - Resiliência,0.3
Lisboa,0.28,97.1029,628.0,Dead,TIER 1 - Resiliência,3.1
Loulé,2.94,99.6876,628.0,200,TIER 1 - Resiliência,0.6
Loures,0.08,99.5173,628.0,200,TIER 2 - Estagnação,1.2
Lourinhã,3.09,95.246,628.0,200,TIER 1 - Resiliência,0.2
Lousã,-2.93,94.7299,628.0,200,TIER 2 - Estagnação,1.0
Lousada,0.24,95.7339,628.0,200,TIER 2 - Estagnação,0.7
Mação,-12.49,95.4491,628.0,200,TIER 4 - Profecia CASSANDRA,87.7
Machico,-9.82,95.3133,628.0,Dead,TIER 3 - Risco de Fuga,0.8
Madalena,5.45,95.3053,628.0,200,TIER 1 - Resiliência,2.3
Mafra,13.38,95.8292,628.0,Dead,TIER 1 - Resiliência,0.2
Maia,0.72,95.439,628.0,200,TIER 1 - Resiliência,0.2
Manteigas,-13.96,93.5699,171.0,200,TIER 4 - Profecia CASSANDRA,76.0
Marvão,-12.85,94.0704,175.0,200,TIER 4 - Profecia CASSANDRA,90.0
Matosinhos,-1.06,99.2,1726.0,200,TIER 1 - Resiliência,0.7
Mealhada,-4.61,95.563,1041.0,200,TIER 2 - Estagnação,1.4
Mêda,-9.88,94.6847,432.0,200,TIER 4 - Profecia CASSANDRA,71.0
Melgaço,-15.1,95.6982,1052.0,200,TIER 4 - Profecia CASSANDRA,94.5
Mértola,-12.17,95.4761,999.0,200,TIER 4 - Profecia CASSANDRA,97.5
Mira,-2.3,95.384,1027.0,Dead,TIER 2 - Estagnação,6.8
Mirandela,-10.08,95.3605,938.0,200,TIER 3 - Risco de Fuga,12.4
Mogadouro,-11.61,92.9317,43.0,200,TIER 4 - Profecia CASSANDRA,93.1
Moita,1.02,97.1921,1744.0,200,TIER 1 - Resiliência,1.2
Monção,-6.72,93.3089,160.0,200,TIER 3 - Risco de Fuga,4.7
Monchique,-8.99,94.7666,248.0,Dead,TIER 4 - Profecia CASSANDRA,85.8
Monforte,-9.98,92.9495,150.0,200,TIER 3 - Risco de Fuga,5.7
Montalegre,-11.42,95.9396,1524.0,200,TIER 4 - Profecia CASSANDRA,96.6
Mora,-16.03,94.0256,628.0,Dead,TIER 4 - Profecia CASSANDRA,93.3
Mortágua,-5.93,93.6267,628.0,200,TIER 3 - Risco de Fuga,25.6
Moura,-11.52,95.2264,628.0,Dead,TIER 4 - Profecia CASSANDRA,63.9
Mourão,-10.8,94.6103,628.0,Dead,TIER 4 - Profecia CASSANDRA,49.9
Murça,-11.26,95.3572,628.0,200,TIER 4 - Profecia CASSANDRA,66.3
Murtosa,0.11,95.3108,628.0,200,TIER 1 - Resiliência,0.6
Nazaré,-1.4,93.1408,128.0,200,TIER 2 - Estagnação,0.9
Nelas,-5.92,95.8329,1117.0,200,TIER 2 - Estagnação,2.8
Nisa,-20.42,95.2167,833.0,200,TIER 4 - Profecia CASSANDRA,97.2
Nordeste,-10.2,92.9905,628.0,Dead,TIER 3 - Risco de Fuga,15.2
Óbidos,3.55,95.2214,542.0,200,TIER 1 - Resiliência,1.0
Odemira,16.21,95.9733,1711.0,200,TIER 1 - Resiliência,1.5
Odivelas,2.82,95.8852,1564.0,200,TIER 1 - Resiliência,0.6
Oeiras,-0.2,94.8537,264.0,Timeout,TIER 2 - Estagnação,0.3
Oleiros,-13.18,99.6439,3157.0,200,TIER 4 - Profecia CASSANDRA,92.0
Olhão,-1.31,95.4792,642.0,200,TIER 2 - Estagnação,0.4
Ourém,-2.5,92.9489,186.0,Dead,TIER 2 - Estagnação,0.3
Ourique,-10.87,93.1317,171.0,200,TIER 4 - Profecia CASSANDRA,93.0
Ovar,-0.13,94.6916,628.0,Dead,TIER 2 - Estagnação,0.3
Palmela,9.81,95.9925,628.0,Timeout,TIER 1 - Resiliência,0.3
Paredes,-2.18,95.7794,628.0,Dead,TIER 2 - Estagnação,0.9
Penacova,-13.72,95.3133,587.0,Dead,TIER 3 - Risco de Fuga,47.5
