[141] Melgaço                          → cm-melgaco.pt
[142] Mesão Frio                       → cm-mesaofrio.pt
[143] Mira                             → cm-mira.pt
[144] Miranda do Corvo                 → cm-mirandadocorvo.pt
[145] Miranda do Douro                 → cm-mdouro.pt
[146] Mirandela                        → cm-mirandela.pt
[147] Mogadouro                        → cm-mogadouro.pt
[148] Moimenta da Beira                → cm-moimenta.pt
[149] Moita                            → cm-moita.pt
[150] Monchique                        → cm-monchique.pt
[151] Mondim de Basto                  → cm-mondimdebasto.pt
[152] Monforte                         → cm-monforte.pt
[153] Montalegre                       → cm-montalegre.pt
[154] Montemor-o-Novo                  → cm-montemornovo.pt
[155] Montemor-o-Velho                 → cm-montemorvelho.pt
[156] Montijo                          → mun-montijo.pt
[157] Monção                           → cm-moncao.pt
[158] Mora                             → cm-mora.pt
[159] Mortágua                         → cm-mortagua.pt
[160] Moura                            → cm-moura.pt
[161] Mourão                           → cm-mourao.pt
[162] Murtosa                          → cm-murtosa.pt
[163] Murça                            → cm-murca.pt
[164] Mértola                          → cm-mertola.pt
[165] Mêda                             → cm-meda.pt
[166] Nazaré                           → cm-nazare.pt
[167] Nelas                            → cm-nelas.pt
[168] Nisa                             → cm-nisa.pt
[169] Nordeste                         → cm-nordeste.pt
[170] Odemira                          → cm-odemira.pt
[171] Odivelas                         → cm-odivelas.pt
[172] Oeiras                           → cm-oeiras.pt
[173] Oleiros                          → cm-oleiros.pt
[174] Olhão                            → cm-olhao.pt
[175] Oliveira de Azeméis              → cm-oaz.pt
[176] Oliveira de Frades               → cm-ofrades.pt
[177] Oliveira do Bairro               → cm-olb.pt
[178] Oliveira do Hospital             → cm-oliveiradohospital.pt
[179] Ourique                          → cm-ourique.pt
[180] Ourém                            → cm-ourem.pt
[181] Ovar                             → cm-ovar.pt
[182] Palmela                          → cm-palmela.pt
[183] Pampilhosa da Serra              → cm-pampilhosadaserra.pt
[184] Paredes                          → cm-paredes.pt
[185] Paredes de Coura                 → cm-paredes-coura.pt
[186] Paços de Ferreira                → cm-pacosdeferreira.pt
[187] Pedrógão Grande                  → cm-pedrogaogrande.pt
[188] Penacova                         → cm-penacova.pt
[189] Penafiel                         → cm-penafiel.pt
[190] Penalva do Castelo               → cm-penalvadocastelo.pt
[191] Penamacor                        → cm-penamacor.pt
[192] Penedono                         → cm-penedono.pt
[193] Penela                           → cm-penela.pt
[194] Peniche                          → cm-peniche.pt
[195] Peso da Régua                    → cm-pesoregua.pt
[196] Pinhel                           → cm-pinhel.pt
[197] Pombal                           → cm-pombal.pt
[198] Ponta Delgada                    → cm-pontadelgada.pt
[199] Ponta do Sol                     → cm-pontadosol.pt
[200] Ponte da Barca                   → cm-pontedabarca.pt
[201] Ponte de Lima                    → cm-pontedelima.pt
[202] Ponte de Sor                     → cm-pontedesor.pt
[203] Portalegre                       → cm-portalegre.pt
[204] Portel                           → cm-portel.pt
[205] Portimão                         → cm-portimao.pt
