Município,Var_Pop,IEI_Score,Total_Arquivo_Captures,Live_StatusCode,CASSANDRA_Risk_Tier,CASSANDRA_Risk_Score,municipio,site_mortality_rate,unique_domains,capture_acceleration,last_capture_gap_days
Caminha,-4.83,95.4531,1097.0,200,TIER 2 - Estagnação,1.8,caminha,0.5062,2.0,0.170311939763356,582.0
Campo Maior,-4.51,94.5849,208.0,200,TIER 2 - Estagnação,0.6,campo maior,0.0474,2.0,0.7061611374407583,489.0
Cantanhede,-6.02,93.55,167.0,200,TIER 3 - Risco de Fuga,0.6,cantanhede,0.1864,2.0,0.0971786833855799,164.0
Cartaxo,-4.08,94.6952,241.0,503,TIER 2 - Estagnação,0.4,cartaxo,0.1166,2.0,2.0973201692524683,489.0
Cascais,3.36,95.0934,476.0,Timeout,TIER 1 - Resiliência,0.1,cascais,0.127,2.0,0.0630372492836676,2265.0
Chamusca,-14.36,95.6355,1312.0,400,TIER 4 - Profecia CASSANDRA,95.2,chamusca,0.0886,2.0,0.3765409039970115,489.0
Chaves,-8.61,93.1265,20.0,Dead,TIER 3 - Risco de Fuga,1.5,chaves,0.0008,2.0,0.1785714285714285,1177.0
Cinfães,-12.48,95.8693,1292.0,200,TIER 4 - Profecia CASSANDRA,32.6,cinfaes,0.3244,2.0,0.4084269662921348,489.0
Coimbra,-1.24,95.9236,1136.0,200,TIER 2 - Estagnação,1.6,coimbra,0.0224,2.0,0.2360308285163776,165.0
Constância,-6.23,95.6537,1344.0,200,TIER 2 - Estagnação,3.1,constancia,0.2378,2.0,0.2121342512908778,488.0
Coruche,-12.03,95.5021,1246.0,503,TIER 4 - Profecia CASSANDRA,84.2,coruche,0.1174,2.0,0.530952380952381,505.0
Corvo,-2.67,92.8684,93.0,200,TIER 2 - Estagnação,8.6,corvo,0.1288,2.0,0.0660919540229885,912.0
Covilhã,-9.79,94.789,319.0,200,TIER 3 - Risco de Fuga,3.5,covilha,0.0068,2.0,0.4053751399776036,526.0
Crato,-13.72,94.1087,191.0,200,TIER 4 - Profecia CASSANDRA,91.6,crato,0.1712,2.0,0.9555236728837876,539.0
Cuba,-10.68,95.1436,505.0,200,TIER 3 - Risco de Fuga,5.0,cuba,0.01,2.0,0.3608247422680412,584.0
Elvas,-10.08,94.6819,266.0,200,TIER 3 - Risco de Fuga,0.5,elvas,0.4666,2.0,13.81543624161074,489.0
Entroncamento,1.46,95.4196,1047.0,200,TIER 1 - Resiliência,0.4,entroncamento,0.0736,2.0,0.2889355007865757,524.0
Espinho,-1.75,92.8742,40.0,Timeout,TIER 2 - Estagnação,3.7,espinho,0.0258,2.0,0.3777777777777777,3736.0
Esposende,3.3,92.8744,115.0,Dead,TIER 1 - Resiliência,0.3,esposende,0.2412,2.0,0.09255079006772,930.0
Estarreja,-2.21,95.3821,940.0,200,TIER 2 - Estagnação,3.7,estarreja,0.0114,2.0,0.2232142857142857,582.0
Estremoz,-10.19,95.552,823.0,404,TIER 3 - Risco de Fuga,42.4,estremoz,0.0098,2.0,0.2773925104022191,168.0
Évora,-4.83,95.297,664.0,200,TIER 2 - Estagnação,0.4,evora,0.3928,5.0,0.1110530441599163,579.0
Fafe,-4.12,95.4703,1283.0,200,TIER 2 - Estagnação,3.9,fafe,0.0088,2.0,0.0438116100766703,582.0
Faro,4.16,95.1585,396.0,200,TIER 1 - Resiliência,0.1,faro,0.132,2.0,0.3927253558249868,767.0
Felgueiras,-3.79,95.7036,628.0,200,TIER 2 - Estagnação,0.5,felgueiras,0.036,2.0,0.3242453748782862,583.0
Fronteira,-13.88,92.9495,628.0,200,TIER 4 - Profecia CASSANDRA,83.1,fronteira,0.0444,2.0,0.1907894736842105,1336.0
Funchal,-5.11,93.2258,628.0,200,TIER 1 - Resiliência,0.7,funchal,0.0372,3.0,0.0827814569536423,1656.0
Fundão,-8.19,97.8169,628.0,200,TIER 3 - Risco de Fuga,7.7,fundao,0.1538,2.0,0.1043668122270742,488.0
Gavião,-18.25,94.5865,628.0,200,TIER 4 - Profecia CASSANDRA,91.4,gaviao,0.0644,2.0,0.1840796019900497,1771.0
Góis,-11.17,94.6365,628.0,200,TIER 4 - Profecia CASSANDRA,92.2,gois,0.2754,2.0,0.935880829015544,543.0
Golegã,-5.7,95.6771,628.0,503,TIER 3 - Risco de Fuga,3.7,golega,0.1424,2.0,0.1442873969375736,516.0
Gondomar,-1.69,94.7396,628.0,200,TIER 2 - Estagnação,0.3,gondomar,0.025,2.0,2.307926829268293,558.0
Gouveia,-12.52,93.0802,628.0,200,TIER 4 - Profecia CASSANDRA,85.6,gouveia,0.0466,2.0,2.984251968503937,550.0
Grândola,-5.61,97.0291,628.0,200,TIER 3 - Risco de Fuga,4.0,grandola,0.1002,3.0,0.2265275707898658,522.0
Guimarães,-0.82,95.9291,628.0,Dead,TIER 2 - Estagnação,0.6,guimaraes,0.1126,3.0,0.4535673839184598,164.0
Ílhavo,3.01,95.7468,628.0,200,TIER 1 - Resiliência,0.3,ilhavo,0.3402,2.0,0.4016608391608391,489.0
Lagoa,4.18,95.3748,628.0,200,TIER 1 - Resiliência,0.2,lagoa,0.2004,2.0,1.7597323600973236,168.0
Lagos,8.09,95.9045,628.0,200,TIER 1 - Resiliência,0.3,lagos,0.1082,2.0,0.6226655348047538,168.0
Lamego,-8.69,95.4123,628.0,200,TIER 3 - Risco de Fuga,5.4,lamego,0.119,2.0,0.8091976516634051,543.0
Leiria,1.76,95.7098,628.0,200,TIER 1 - Resiliência,0.3,leiria,0.2882,2.0,0.319880418535127,543.0
Lisboa,0.28,97.1029,628.0,Dead,TIER 1 - Resiliência,3.1,lisboa,0.01,3.0,0.1434108527131783,2349.0
Loulé,2.94,99.6876,628.0,200,TIER 1 - Resiliência,0.6,loule,0.1078,3.0,0.530791788856305,767.0
Loures,0.08,99.5173,628.0,200,TIER 2 - Estagnação,1.2,loures,0.0012,3.0,0.0,1103.0
Lourinhã,3.09,95.246,628.0,200,TIER 1 - Resiliência,0.2,lourinha,0.0644,2.0,0.5095588235294117,768.0
Lousã,-2.93,94.7299,628.0,200,TIER 2 - Estagnação,1.0,lousa,0.5752,2.0,0.0190903986524424,165.0
Lousada,0.24,95.7339,628.0,200,TIER 2 - Estagnação,0.7,lousada,0.1018,2.0,0.1058974358974359,582.0
Mação,-12.49,95.4491,628.0,200,TIER 4 - Profecia CASSANDRA,87.7,macao,0.1102,2.0,0.0773173857325929,586.0
Machico,-9.82,95.3133,628.0,Dead,TIER 3 - Risco de Fuga,0.8,machico,0.1628,2.0,0.1213733075435203,462.0
Madalena,5.45,95.3053,628.0,200,TIER 1 - Resiliência,2.3,madalena,0.3652,2.0,0.8634294385432474,582.0
Mafra,13.38,95.8292,628.0,Dead,TIER 1 - Resiliência,0.2,mafra,0.1258,2.0,0.2526315789473684,582.0
Maia,0.72,95.439,628.0,200,TIER 1 - Resiliência,0.2,maia,0.644,2.0,0.3910806174957118,518.0
Manteigas,-13.96,93.5699,171.0,200,TIER 4 - Profecia CASSANDRA,76.0,manteigas,0.2246,2.0,6.673611111111111,578.0
Marvão,-12.85,94.0704,175.0,200,TIER 4 - Profecia CASSANDRA,90.0,marvao,0.0288,2.0,0.4188365650969529,521.0
Matosinhos,-1.06,99.2,1726.0,200,TIER 1 - Resiliência,0.7,matosinhos,0.4162,2.0,0.4706951385733757,543.0
Mealhada,-4.61,95.563,1041.0,200,TIER 2 - Estagnação,1.4,mealhada,0.11,2.0,0.5367483296213809,490.0
Mêda,-9.88,94.6847,432.0,200,TIER 4 - Profecia CASSANDRA,71.0,meda,0.0596,2.0,0.2134570765661252,581.0
Melgaço,-15.1,95.6982,1052.0,200,TIER 4 - Profecia CASSANDRA,94.5,melgaco,0.0002,2.0,0.8066630256690334,537.0
Mértola,-12.17,95.4761,999.0,200,TIER 4 - Profecia CASSANDRA,97.5,mertola,0.0736,2.0,1.2141357592722184,345.0
Mira,-2.3,95.384,1027.0,Dead,TIER 2 - Estagnação,6.8,mira,0.2836,1.0,0.2521920668058455,575.0
Mirandela,-10.08,95.3605,938.0,200,TIER 3 - Risco de Fuga,12.4,mirandela,0.2432,2.0,0.0617760617760617,924.0
Mogadouro,-11.61,92.9317,43.0,200,TIER 4 - Profecia CASSANDRA,93.1,mogadouro,0.0084,2.0,0.2702702702702703,2338.0
Moita,1.02,97.1921,1744.0,200,TIER 1 - Resiliência,1.2,moita,0.2704,2.0,2.798804780876494,255.0
Monção,-6.72,93.3089,160.0,200,TIER 3 - Risco de Fuga,4.7,moncao,0.0362,2.0,0.1175523349436392,783.0
Monchique,-8.99,94.7666,248.0,Dead,TIER 4 - Profecia CASSANDRA,85.8,monchique,0.0814,2.0,0.3475609756097561,767.0
Monforte,-9.98,92.9495,150.0,200,TIER 3 - Risco de Fuga,5.7,monforte,0.0258,2.0,0.0547550432276657,1713.0
Montalegre,-11.42,95.9396,1524.0,200,TIER 4 - Profecia CASSANDRA,96.6,montalegre,0.5374,2.0,0.5376712328767124,558.0
Mora,-16.03,94.0256,628.0,Dead,TIER 4 - Profecia CASSANDRA,93.3,mora,0.548,1.0,0.01599600099975,637.0
Mortágua,-5.93,93.6267,628.0,200,TIER 3 - Risco de Fuga,25.6,mortagua,0.2502,2.0,2.8833049403747872,543.0
Moura,-11.52,95.2264,628.0,Dead,TIER 4 - Profecia CASSANDRA,63.9,moura,0.4938,2.0,0.2394662921348314,530.0
Mourão,-10.8,94.6103,628.0,Dead,TIER 4 - Profecia CASSANDRA,49.9,mourao,0.2298,2.0,0.0661052631578947,671.0
Murça,-11.26,95.3572,628.0,200,TIER 4 - Profecia CASSANDRA,66.3,murca,0.222,2.0,0.1564199079882894,582.0
Murtosa,0.11,95.3108,628.0,200,TIER 1 - Resiliência,0.6,murtosa,0.2132,2.0,0.1679929266136162,582.0
Nazaré,-1.4,93.1408,128.0,200,TIER 2 - Estagnação,0.9,nazare,0.0668,2.0,0.5770171149144254,570.0
Nelas,-5.92,95.8329,1117.0,200,TIER 2 - Estagnação,2.8,nelas,0.1056,2.0,0.5021256495040152,503.0
Nisa,-20.42,95.2167,833.0,200,TIER 4 - Profecia CASSANDRA,97.2,nisa,0.041,2.0,0.1100362756952841,516.0
Nordeste,-10.2,92.9905,628.0,Dead,TIER 3 - Risco de Fuga,15.2,nordeste,0.5562,2.0,0.2105263157894736,3224.0
Óbidos,3.55,95.2214,542.0,200,TIER 1 - Resiliência,1.0,obidos,0.0252,2.0,0.922056384742952,582.0
Odemira,16.21,95.9733,1711.0,200,TIER 1 - Resiliência,1.5,odemira,0.4168,2.0,0.360313315926893,543.0
