Município,Domain,Status
Tondela,cm-tondela.pt,OK
Trancoso,cm-trancoso.pt,OK
Vagos,cm-vagos.pt,OK
Valença,cm-valenca.pt,OK
Valongo,cm-valongo.pt,OK
Valpaços,cm-valpacos.pt,OK
Vidigueira,cm-vidigueira.pt,OK
Vimioso,cm-vimioso.pt,OK
Vinhais,cm-vinhais.pt,OK
Viseu,cm-viseu.pt,OK
Vizela,cm-vizela.pt,OK
Vouzela,cm-vouzela.pt,OK
Albergaria-a-Velha,albergaria-a-velha.pt,OK
Miranda do Corvo,cm-mirandadocorvo.pt,OK
Santa Maria da Feira,cm-feira.pt,OK
Vila Nova de Gaia,cm-gaia.pt,OK
Santa Cruz da Graciosa,cm-graciosa.pt,OK
Torre de Moncorvo,cm-moncorvo.pt,OK
Vila do Porto,cm-viladoporto.pt,OK
Horta,cmhorta.pt,OK
Mangualde,cmmangualde.pt,OK
Velas,cmvelas.pt,OK
Guarda,mun-guarda.pt,OK
Aljustrel,mun-aljustrel.pt,OK
Montijo,mun-montijo.pt,OK
Lajes do Pico,municipio-lajes-do-pico.pt,OK
Trofa,trofa.pt,SUSPICIOUS
Alter do Chão,alter.pt,SUSPICIOUS
Angra do Heroísmo,angradoheroismo.pt,OK
Arcos de Valdevez,arcosdevaldevez.pt,OK
Vila Nova da Barquinha,barquinha.pt,SUSPICIOUS
Cabeceiras de Basto,cabeceiras.pt,SUSPICIOUS
Caldas da Rainha,caldasdarainha.pt,OK
Castanheira de Pêra,castanheiradepera.pt,OK
Aguiar da Beira,cm-aguiardabeira.pt,OK
Alcácer do Sal,cm-alcacerdosal.pt,OK
Alfândega da Fé,cm-alfandegadafe.pt,OK
Arruda dos Vinhos,cm-arruda.pt,OK
Calheta [R.A.A.],cm-calheta.pt,OK
Câmara de Lobos,cm-camaradelobos.pt,OK
Carrazeda de Ansiães,cm-carrazedadeansiaes.pt,OK
Carregal do Sal,cm-carregal.pt,OK
Castelo Branco,cm-castelobranco.pt,OK
Castro Daire,cm-castrodaire.pt,OK
Castro Marim,cm-castromarim.pt,OK
Castro Verde,cm-castroverde.pt,OK
Celorico da Beira,cm-celoricodabeira.pt,OK
Celorico de Basto,cm-celoricodebasto.pt,OK
Condeixa-a-Nova,cm-condeixa.pt,OK
Figueira de Castelo Rodrigo,cm-fcr.pt,SUSPICIOUS
Ferreira do Zêzere,cm-ferreiradozezere.pt,OK
Figueira da Foz,cm-figfoz.pt,OK
Figueiró dos Vinhos,cm-figueirodosvinhos.pt,OK
Fornos de Algodres,cm-fornosdealgodres.pt,OK
Vila Nova de Foz Côa,cm-fozcoa.pt,OK
Idanha-a-Nova,cm-idanhanova.pt,OK
Lagoa [R.A.A.],lagoa-acores.pt,OK
Macedo de Cavaleiros,cm-macedodecavaleiros.pt,OK
Mesão Frio,cm-mesaofrio.pt,OK
Moimenta da Beira,cm-moimenta.pt,OK
Mondim de Basto,cm-mondimdebasto.pt,OK
Montemor-o-Novo,cm-montemornovo.pt,OK
Oliveira de Azeméis,cm-oaz.pt,SUSPICIOUS
Oliveira de Frades,cm-ofrades.pt,OK
Oliveira do Hospital,cm-oliveiradohospital.pt,OK
Pampilhosa da Serra,cm-pampilhosadaserra.pt,OK
Pedrógão Grande,cm-pedrogaogrande.pt,OK
Penalva do Castelo,cm-penalvadocastelo.pt,OK
Peso da Régua,cm-pesoregua.pt,OK
Ponta Delgada,cm-pontadelgada.pt,OK
Ponta do Sol,cm-pontadosol.pt,OK
Ponte da Barca,cm-pontedabarca.pt,OK
Ponte de Lima,cm-pontedelima.pt,OK
Ponte de Sor,cm-pontedesor.pt,OK
Porto Moniz,cm-portomoniz.pt,OK
Porto Santo,cm-portosanto.pt,OK
Póvoa de Lanhoso,cm-povoadelanhoso.pt,OK
Proença-a-Nova,cm-proencanova.pt,OK
Póvoa de Varzim,cm-pvarzim.pt,OK
Ribeira Brava,cm-ribeirabrava.pt,OK
Ribeira Grande,cm-ribeiragrande.pt,OK
Rio Maior,cm-riomaior.pt,OK
Ribeira de Pena,cm-rpena.pt,OK
Salvaterra de Magos,cm-salvaterrademagos.pt,OK
Santa Comba Dão,cm-santacombadao.pt,OK
Santa Cruz,cm-santacruz.pt,OK
São Roque do Pico,cm-saoroquedopico.pt,OK
São Vicente,cm-saovicente.pt,OK
São João da Madeira,cm-sjm.pt,SUSPICIOUS
São João da Pesqueira,cm-sjpesqueira.pt,OK
Santa Marta de Penaguião,cm-smpenaguiao.pt,OK
Sobral de Monte Agraço,cm-sobral.pt,OK
São Pedro do Sul,cm-spsul.pt,OK
Torres Novas,cm-torresnovas.pt,OK
Vale de Cambra,cm-valedecambra.pt,OK
Vendas Novas,cm-vendasnovas.pt,OK
Vila Franca de Xira,cm-vfxira.pt,OK
Viana do Castelo,cm-viana-castelo.pt,OK
Viana do Alentejo,cm-vianadoalentejo.pt,OK
Vila de Rei,cm-viladerei.pt,OK
Vila do Bispo,cm-viladobispo.pt,OK
Vila do Conde,cm-viladoconde.pt,OK
Vila Flor,cm-vilaflor.pt,OK
Vila Real,cm-vilareal.pt,OK
Vila Verde,cm-vilaverde.pt,OK
Vila Viçosa,cm-vilavicosa.pt,OK
Vila Nova de Famalicão,cm-vnfamalicao.pt,OK
Vila Nova de Paiva,cm-vnpaiva.pt,OK
Vila Pouca de Aguiar,cm-vpaguiar.pt,OK
Vila Real de Santo António,cm-vrsa.pt,OK
Vila Velha de Ródão,cm-vvrodao.pt,OK
Ferreira do Alentejo,ferreiradoalentejo.pt,OK
Freixo de Espada à Cinta,freixo.pt,SUSPICIOUS
Marco de Canaveses,marco.pt,SUSPICIOUS
Paredes de Coura,paredesdecoura.pt,SUSPICIOUS
Porto de Mós,portodemos.pt,OK
São Brás de Alportel,sba.pt,SUSPICIOUS
Torres Vedras,cm-tvedras.pt,OK
Castelo de Paiva,cm-castelo-paiva.pt,OK
Reguengos de Monsaraz,cm-reguengos-monsaraz.pt,OK
Vila Nova de Cerveira,cm-vncerveira.pt,OK
Castelo de Vide,cm-castelo-vide.pt,OK
Miranda do Douro,cm-mdouro.pt,OK
Marinha Grande,cm-mgrande.pt,OK
Montemor-o-Velho,cm-montemorvelho.pt,OK
Oliveira do Bairro,cm-olb.pt,SUSPICIOUS
Paços de Ferreira,cm-pacosdeferreira.pt,OK
Santana,cm-santana.com,OK
Sever do Vouga,cm-sever.pt,OK
Santo Tirso,cm-stirso.pt,OK
Terras de Bouro,cm-terrasdebouro.pt,OK
Vila Nova de Poiares,cm-vilanovadepoiares.pt,OK
Vieira do Minho,cm-vminho.pt,OK
Lajes das Flores,cmlajesdasflores.pt,OK
Vila da Praia da Vitória,cmpv.pt,SUSPICIOUS
Santa Cruz das Flores,cmscflores.pt,OK
Vila Franca do Campo,cmvfc.pt,SUSPICIOUS
Calheta [R.A.M.],cmcalheta.pt,OK
