Município,captures_2013_2018,captures_2019_2024,capture_trend,last_capture_year,years_since_last_capture
Albergaria-a-Velha,40,1122,1082,2024,1
Miranda do Corvo,29,347,318,2024,1
Santa Maria da Feira,45,1293,1248,2024,1
Vila Nova de Gaia,52,167,115,2024,1
Santa Cruz da Graciosa,190,538,348,2024,1
Torre de Moncorvo,33,246,213,2024,1
Vila do Porto,23,149,126,2024,1
Horta,168,1313,1145,2024,1
Mangualde,54,480,426,2024,1
Velas,31,421,390,2024,1
Guarda,251,1272,1021,2024,1
Aljustrel,21,802,781,2024,1
Montijo,724,777,53,2024,1
Lajes do Pico,40,751,711,2024,1
Trofa,40,717,677,2024,1
Alter do Chão,37,775,738,2024,1
Angra do Heroísmo,10,1002,992,2024,1
Arcos de Valdevez,33,1750,1717,2024,1
Vila Nova da Barquinha,1475,1436,-39,2024,1
Cabeceiras de Basto,49,657,608,2024,1
Caldas da Rainha,8,38,30,2024,1
Castanheira de Pêra,38,673,635,2024,1
Aguiar da Beira,108,1442,1334,2024,1
Alcácer do Sal,34,135,101,2024,1
Alfândega da Fé,310,1177,867,2024,1
Arruda dos Vinhos,65,904,839,2024,1
Calheta [R.A.A.],28,202,174,2024,1
Câmara de Lobos,24,958,934,2024,1
Carrazeda de Ansiães,44,1278,1234,2024,1
Carregal do Sal,38,818,780,2024,1
Castelo Branco,1771,2321,550,2024,1
Castro Daire,83,582,499,2024,1
Castro Marim,69,182,113,2024,1
Castro Verde,25,192,167,2024,1
Celorico da Beira,24,292,268,2024,1
Celorico de Basto,0,2,2,2023,2
Condeixa-a-Nova,43,1355,1312,2024,1
Figueira de Castelo Rodrigo,40,671,631,2024,1
Ferreira do Zêzere,134,1502,1368,2024,1
Figueira da Foz,326,1803,1477,2024,1
Figueiró dos Vinhos,49,1747,1698,2024,1
Fornos de Algodres,37,852,815,2024,1
Vila Nova de Foz Côa,68,759,691,2024,1
Idanha-a-Nova,1734,782,-952,2024,1
Lagoa [R.A.A.],19,252,233,2024,1
Macedo de Cavaleiros,47,1016,969,2024,1
Mesão Frio,41,916,875,2024,1
Moimenta da Beira,38,1156,1118,2024,1
Mondim de Basto,23,47,24,2024,1
Montemor-o-Novo,18,524,506,2024,1
Oliveira de Azeméis,62,1327,1265,2024,1
Oliveira de Frades,9,416,407,2024,1
Oliveira do Hospital,143,1323,1180,2024,1
Pampilhosa da Serra,44,1133,1089,2024,1
Pedrógão Grande,62,1487,1425,2024,1
Penalva do Castelo,41,1571,1530,2024,1
Peso da Régua,110,1361,1251,2024,1
Ponta Delgada,18,1478,1460,2024,1
Ponta do Sol,45,752,707,2024,1
Ponte da Barca,4,32,28,2024,1
Ponte de Lima,92,1140,1048,2024,1
Ponte de Sor,63,1062,999,2024,1
Porto Moniz,1,0,-1,2013,12
Porto Santo,41,908,867,2024,1
Póvoa de Lanhoso,20,47,27,2024,1
Proença-a-Nova,1673,1448,-225,2024,1
Póvoa de Varzim,340,2496,2156,2024,1
Ribeira Brava,65,90,25,2024,1
Ribeira Grande,43,387,344,2024,1
Rio Maior,191,1152,961,2024,1
Ribeira de Pena,19,467,448,2024,1
Salvaterra de Magos,70,1086,1016,2024,1
Santa Comba Dão,52,1249,1197,2024,1
Santa Cruz,37,879,842,2024,1
São Roque do Pico,38,852,814,2024,1
São Vicente,37,321,284,2024,1
São João da Madeira,308,1027,719,2024,1
São João da Pesqueira,29,24,-5,2024,1
Santa Marta de Penaguião,32,502,470,2024,1
Sobral de Monte Agraço,22,926,904,2024,1
São Pedro do Sul,24,1193,1169,2024,1
Torres Novas,148,1489,1341,2024,1
Vale de Cambra,38,148,110,2024,1
Vendas Novas,20,1077,1057,2024,1
Vila Franca de Xira,260,2210,1950,2024,1
Viana do Castelo,231,1907,1676,2024,1
Viana do Alentejo,27,243,216,2024,1
Vila de Rei,1783,2307,524,2024,1
Vila do Bispo,33,430,397,2024,1
Vila do Conde,166,1596,1430,2024,1
Vila Flor,44,876,832,2024,1
Vila Real,72,1987,1915,2024,1
Vila Verde,78,879,801,2024,1
Vila Viçosa,13,1068,1055,2024,1
Vila Nova de Famalicão,50,1020,970,2024,1
Vila Nova de Paiva,44,1708,1664,2024,1
Vila Pouca de Aguiar,62,699,637,2024,1
Vila Real de Santo António,68,243,175,2024,1
Vila Velha de Ródão,1408,805,-603,2024,1
Ferreira do Alentejo,28,56,28,2023,2
Freixo de Espada à Cinta,26,399,373,2024,1
Marco de Canaveses,703,729,26,2024,1
Paredes de Coura,13,48,35,2024,1
Porto de Mós,130,1641,1511,2024,1
São Brás de Alportel,27,374,347,2024,1
Torres Vedras,347,2767,2420,2024,1
Castelo de Paiva,226,606,380,2024,1
Reguengos de Monsaraz,48,1068,1020,2024,1
Vila Nova de Cerveira,212,1615,1403,2024,1
Castelo de Vide,35,1011,976,2024,1
Miranda do Douro,74,1209,1135,2024,1
Marinha Grande,210,1523,1313,2024,1
Montemor-o-Velho,67,1229,1162,2024,1
Oliveira do Bairro,39,1057,1018,2024,1
Paços de Ferreira,142,379,237,2024,1
Santana,18,404,386,2024,1
Sever do Vouga,20,915,895,2024,1
Santo Tirso,65,1473,1408,2024,1
Terras de Bouro,65,1028,963,2024,1
Vila Nova de Poiares,45,1574,1529,2024,1
Vieira do Minho,49,574,525,2024,1
Lajes das Flores,41,594,553,2024,1
Vila da Praia da Vitória,55,981,926,2024,1
Santa Cruz das Flores,31,793,762,2024,1
Vila Franca do Campo,40,984,944,2024,1
Calheta [R.A.M.],50,124,74,2024,1
